Contact	NrofDelivered
8000	85.33333333333334
16000	81.0126582278481
2500	45.0
10500	81.52173913043478
18500	85.11627906976744
5000	53.96825396825397
13000	73.18840579710145
7500	79.72972972972973
15500	82.35294117647058
2000	42.10526315789473
10000	78.65168539325843
18000	84.36018957345972
4500	48.38709677419355
12500	68.65671641791045
7000	79.16666666666666
15000	80.79470198675497
1500	36.84210526315789
9500	81.92771084337349
17500	82.21153846153845
4000	25.0
12000	74.03846153846155
6500	73.52941176470588
14500	79.72972972972973
1000	33.33333333333333
9000	82.27848101265823
17000	78.74396135265701
3500	37.03703703703704
11500	80.0
6000	65.67164179104478
14000	79.16666666666666
500	33.33333333333333
8500	84.21052631578947
16500	68.96551724137932
3000	45.0
11000	81.72043010752688
19000	86.93693693693693
5500	61.53846153846154
13500	77.46478873239437

