Contact	NrofDelivered
8000	86.66666666666667
16000	84.81012658227847
2500	55.00000000000001
10500	84.78260869565217
18500	86.04651162790698
5000	58.730158730158735
13000	78.26086956521739
7500	86.48648648648648
15500	84.31372549019608
2000	52.63157894736842
10000	84.26966292134831
18000	85.78199052132702
4500	59.67741935483871
12500	73.88059701492537
7000	83.33333333333334
15000	84.76821192052981
1500	47.368421052631575
9500	84.33734939759037
17500	85.09615384615384
4000	33.33333333333333
12000	77.88461538461539
6500	79.41176470588235
14500	81.75675675675676
1000	44.44444444444444
9000	84.81012658227847
17000	85.5072463768116
3500	48.148148148148145
11500	85.26315789473684
6000	73.13432835820896
14000	80.55555555555556
500	44.44444444444444
8500	85.52631578947368
16500	72.41379310344827
3000	65.0
11000	84.94623655913979
19000	87.83783783783784
5500	67.6923076923077
13500	79.5774647887324

