Contact	NrofDelivered
8000	86.66666666666667
16000	65.82278481012658
2500	55.00000000000001
10500	81.52173913043478
18500	57.20930232558139
5000	58.730158730158735
13000	66.66666666666666
7500	86.48648648648648
15500	67.97385620915033
2000	52.63157894736842
10000	82.02247191011236
18000	58.29383886255924
4500	59.67741935483871
12500	64.17910447761194
7000	84.72222222222221
15000	68.87417218543047
1500	47.368421052631575
9500	84.33734939759037
17500	58.65384615384615
4000	33.33333333333333
12000	75.96153846153845
6500	79.41176470588235
14500	68.91891891891892
1000	44.44444444444444
9000	84.81012658227847
17000	58.454106280193244
3500	48.148148148148145
11500	82.10526315789474
6000	74.6268656716418
14000	69.44444444444444
500	44.44444444444444
8500	85.52631578947368
16500	54.679802955665025
3000	65.0
11000	82.79569892473118
19000	57.20720720720721
5500	67.6923076923077
13500	68.30985915492957

