Contact	NrofDelivered
8000	81.33333333333333
16000	80.37974683544303
2500	50.0
10500	79.34782608695652
18500	84.18604651162791
5000	52.38095238095239
13000	72.46376811594203
7500	79.72972972972973
15500	81.69934640522875
2000	47.368421052631575
10000	76.40449438202246
18000	83.88625592417061
4500	46.774193548387096
12500	68.65671641791045
7000	77.77777777777779
15000	80.13245033112582
1500	42.10526315789473
9500	79.51807228915662
17500	83.17307692307693
4000	26.666666666666668
12000	72.11538461538461
6500	70.58823529411765
14500	78.37837837837837
1000	38.88888888888889
9000	78.48101265822784
17000	79.22705314009661
3500	44.44444444444444
11500	78.94736842105263
6000	61.19402985074627
14000	78.47222222222221
500	38.88888888888889
8500	80.26315789473685
16500	69.45812807881774
3000	55.00000000000001
11000	80.64516129032258
19000	86.48648648648648
5500	55.38461538461539
13500	74.64788732394366

